pekerjaan,status_pekerjaan,pendidikan,status_kawin,rumah,simpanan,jenis_atap,kualitas_atap,jenis_dinding,kualitas_dinding,jenis_lantai,kualitas_lantai,sumber_penerangan,daya_listrik,bahan_bakar_masak,air_minum,fasilitas_bab,stunting,bpnt,bpum,bst,pkh,sembako,prakerja,kur
petani,pekerja_bebas,tdk_tamat_sd,kawin,pribadi,ya,beton,,tembok,,semen,,pln_meteran,ya,listrik_gas,air_kemasan,pribadi,bukan_target,tidak,ya,tidak,tidak,tidak,tidak,tidak
nelayan,usaha_sendiri,tamat_sltp,kawin,pribadi,,seng,rendah,tembok,rendah,semen,rendah,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,tidak_beresiko,ya,tidak,tidak,tidak,tidak,tidak,tidak
pekerja_lepas,usaha_sendiri,tamat_slta,kawin,pribadi,,seng,tinggi,tembok,tinggi,semen,tinggi,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,tidak_beresiko,ya,tidak,ya,ya,ya,tidak,tidak
tidak_bekerja,tidak_bekerja,tamat_sd,cerai_mati,menumpang,ya,seng,rendah,tembok,rendah,semen,rendah,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,bukan_target,ya,tidak,ya,tidak,ya,tidak,tidak
pekerja_lepas,usaha_sendiri,tamat_sd,cerai_mati,menumpang,,seng,rendah,tembok,rendah,semen,rendah,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,bukan_target,tidak,tidak,tidak,tidak,tidak,tidak,tidak
pekerja_lepas,usaha_sendiri,tamat_slta,cerai_hidup,pribadi,,seng,tinggi,tembok,tinggi,semen,tinggi,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,bukan_target,ya,tidak,ya,ya,ya,tidak,ya
petani,usaha_sendiri,tamat_sd,kawin,pribadi,,seng,rendah,tembok,rendah,semen,rendah,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,beresiko,ya,tidak,ya,ya,ya,tidak,tidak
petani,usaha_sendiri,tdk_tamat_sd,kawin,pribadi,,seng,tinggi,tembok,tinggi,semen,tinggi,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,tidak_beresiko,tidak,tidak,tidak,tidak,tidak,tidak,tidak
pegawai_swasta,buruh_karyawan_pegawai,tamat_slta,kawin,menumpang,,seng,rendah,kayu,rendah,kayu,rendah,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,beresiko,tidak,tidak,tidak,tidak,tidak,tidak,tidak
pegawai_swasta,buruh_karyawan_pegawai,tamat_slta,kawin,pribadi,,seng,tinggi,tembok,tinggi,semen,tinggi,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,tidak_beresiko,tidak,tidak,tidak,tidak,tidak,tidak,tidak
nelayan,usaha_sendiri,tamat_slta,kawin,menumpang,,seng,tinggi,tembok,tinggi,semen,tinggi,pln_meteran,tidak,listrik_gas,air_kemasan,pribadi,tidak_beresiko,tidak,tidak,tidak,tidak,tidak,tidak,tidak
